color;density;height;id;image;info;intake_id;is_fire_treaded;is_planed;is_straight;label;length;name;paint;price;project_type;reservation_name;reservation_time;reserved;source;storage_location;timestamp;type;weight;width;wood_id;wood_species;
173,156,121;;18;150;;Perfect;;;;;;1590;;;;;;;;;B6;;;1000;54;;;
138,113,76;;11;151;;perfect;;;;;;2010;;;;;;;;;D2;;;550;40;;;
154,138,102;;15;152;;Chamfer;;;;;;1580;;;;;;;;;B7;;;500;40;;;
193,125,97;;20;162;;Perfect;;;;;;1680;;;;;;;;;B4;;;650;34;;;
150,145,131;;24;164;;Perfect;;;;;;1840;;;;;;;;;D6;;;1000;34;;;
173,154,119;;20;165;;Perfect;;;;;;1765;;;;;;;;;B1;;;600;34;;;
177,156,122;;15;166;;Perfect;;;;;;1860;;;;;;;;;D6;;;700;32;;;
160,155,126;;20;167;;perfect;;;;;;1956;;;;;;;;;D3;;;1050;38;;;
175,149,112;;14;168;;Perfect;;;;;;1686;;;;;;;;;B3;;;400;27;;;
160,143,101;;21;171;;Perfect;;;;;;2000;;;;;;;;;D3;;;850;25;;;
177,150,96;;15;172;;Perfect;;;;;;2030;;;;;;;;;D2;;;500;26;;;
150,126,85;;13;173;;Perfect;;;;;;1757;;;;;;;;;B1;;;550;32;;;
185,154,112;;16;174;;Perfect;;;;;;1568;;;;;;;;;B7;;;450;30;;;
99,116,96;;18;177;;Perfect;;;;;;1881;;;;;;;;;D5;;;500;27;;;
150,130,100;;12;178;;Needs cut;;;;;;1616;;;;;;;;;B6;;;400;27;;;
157,140,107;;7;179;;Perfect;;;;;;1692;;;;;;;;;B3;;;150;27;;;
162,157,137;;12;180;;Perfect;;;;;;1906;;;;;;;;;D4;;;450;30;;;
168,153,116;;12;181;;Perfect;;;;;;2005;;;;;;;;;D2;;;450;27;;;
150,115,70;;21;182;;Perfect;;;;;;1820;;;;;;;;;D7;;;700;31;;;
150,115,67;;10;183;;Perfect;;;;;;1750;;;;;;;;;B1;;;400;31;;;
136,109,68;;17;185;;Perfect;;;;;;1941;;;;;;;;;D3;;;700;30;;;
149,123,79;;14;186;;slighty bended;;;;;;2014;;;;;;;;;D2;;;550;26;;;
193,158,94;;14;187;;Perfect;;;;;;2044;;;;;;;;;D1;;;450;25;;;
193,170,134;;14;189;;Perfect;;;;;;1684;;;;;;;;;B3;;;350;27;;;
151,112,60;;24;190;;Perfect;;;;;;1589;;;;;;;;;B6;;;600;25;;;
153,129,98;;17;191;;Perfect;;;;;;1693;;;;;;;;;B3;;;500;27;;;
157,118,67;;17;192;;Perfect;;;;;;1719;;;;;;;;;B2;;;500;27;;;
170,143,100;;24;193;;Perfect;;;;;;1583;;;;;;;;;B7;;;650;24;;;
137,118,88;;17;194;;Perfect;;;;;;1594;;;;;;;;;B6;;;450;27;;;
171,157,119;;14;195;;Perfect;;;;;;1594;;;;;;;;;B6;;;450;27;;;
213,189,150;;17;196;;Perfect;;;;;;1654;;;;;;;;;B5;;;400;27;;;
182,170,139;;11;197;;Perfect;;;;;;2007;;;;;;;;;D2;;;450;27;;;
163,142,112;;12;199;;Perfect;;;;;;1701;;;;;;;;;B3;;;400;26;;;
198,182,152;;16;200;;Perfect;;;;;;1707;;;;;;;;;B3;;;500;24;;;
181,164,134;;21;201;;Perfect;;;;;;2007;;;;;;;;;D2;;;700;25;;;
148,131,101;;11;202;;Perfect;;;;;;1644;;;;;;;;;B5;;;300;21;;;
179,163,131;;12;204;;Perfect;;;;;;1745;;;;;;;;;B1;;;400;27;;;
198,168,124;;20;206;;Perfect;;;;;;1655;;;;;;;;;B4;;;450;21;;;
218,160,87;;15;207;;Perfect;;;;;;1850;;;;;;;;;D6;;;550;27;;;
109,85,55;;22;208;;Perfect;;;;;;1656;;;;;;;;;B4;;;500;25;;;
230,195,141;;19;210;;Perfect;;;;;;1865;;;;;;;;;D6;;;550;27;;;
173,104,62;;20;211;;Needs Cut, slightly bended;;;;;;1620;;;;;;;;;B5;;;300;20;;;
127,86,30;;12;213;;Perfect;;;;;;1526;;;;;;;;;B1;;;250;19;;;
172,165,147;;50;214;;perfect;;;;;;1872;;;;;;;;;D6;;;2900;71;;;
170,152,114;;21;215;;Perfect;;;;;;1662;;;;;;;;;B4;;;500;21;;;
120,86,49;;34;219;;Perfect;;;;;;1590;;;;;;;;;B6;;;900;50;;;
117,81,55;;23;221;;Perfect;;;;;;1830;;;;;;;;;D7;;;650;22;;;
99,64,30;;25;222;;Perfect;;;;;;1528;;;;;;;;;;;;1000;25;;;
117,82,39;;20;224;;Chamfer;;;;;;1570;;;;;;;;;B7;;;550;25;;;
107,76,42;;18;225;;Perfect;;;;;;1710;;;;;;;;;B3;;;750;38;;;
99,61,39;;29;227;;Perfect;;;;;;1534;;;;;;;;;B;;;2200;44;;;
108,77,50;;35;231;;Perfect;;;;;;1553;;;;;;;;;B8;;;1100;35;;;
92,54,17;;21;232;;Perfect;;;;;;1987;;;;;;;;;D3;;;550;21;;;
99,58,10;;24;233;;slighty bended;;;;;;1859;;;;;;;;;D6;;;800;25;;;
131,85,49;;29;234;;Perfect;;;;;;1903;;;;;;;;;D4;;;1150;37;;;
108,73,39;;19;235;;Perfect;;;;;;1743;;;;;;;;;B2;;;1850;47;;;
115,87,52;;19;237;;Slightly bended;;;;;;1611;;;;;;;;;B6;;;600;29;;;
118,93,51;;11;238;;Perfect;;;;;;1755;;;;;;;;;B1;;;950;51;;;
123,97,73;;25;240;;Perfect;;;;;;1855;;;;;;;;;D6;;;750;26;;;
126,77,39;;9;241;;Groves;;;;;;1835;;;;;;;;;D6;;;550;49;;;
121,94,60;;10;242;;Needs cut, Twisted;;;;;;1790;;;;;;;;;B1;;;500;40;;;
110,75,39;;22;244;;Perfect;;;;;;1794;;;;;;;;;B1;;;650;29;;;
96,61,23;;18;246;;Perfect;;;;;;1713;;;;;;;;;B2;;;600;27;;;
104,70,27;;15;248;;Perfect;;;;;;1824;;;;;;;;;D7;;;1000;58;;;
104,72,43;;18;251;;Perfect;;;;;;1709;;;;;;;;;B3;;;650;35;;;
130,103,67;;11;252;;Perfect;;;;;;1707;;;;;;;;;B3;;;500;40;;;
139,111,62;;40;285;;Perfect;;;;;;1735;;;;;;;;;B2;;;2200;52;;;
96,63,34;;20;294;;Perfect;;;;;;1632;;;;;;;;;B5;;;600;26;;;
117,71,40;;29;295;;Perfect;;;;;;1537;;;;;;;;;B;;;2150;44;;;
117,78,39;;15;296;;Perfect;;;;;;1710;;;;;;;;;B2;;;700;35;;;
139,120,95;;9;297;;Perfect;;;;;;2077;;;;;;;;;D1;;;550;61;;Fure;
106,56,24;;27;311;;Perfect;;;;;;1603;;;;;;;;;B6;;;700;29;;;
104,75,40;;18;313;;Perfect;;;;;;1706;;;;;;;;;B3;;;550;28;;;
162,142,105;;17;314;;Perfect;;;;;;1625;;;;;;;;;B5;;;900;70;;;
116,93,77;;31;319;;Perfect;;;;;;1609;;;;;;;;;B6;;;1350;44;;;
117,83,44;;7;320;;Perfect;;;;;;1600;;;;;;;;;B6;;;300;40;;;
62,39,17;;33;327;;Perfect;;;;;;1750;;;;;;;;;B1;;;2050;39;;;
149,117,73;;40;333;;Perfect;;;;;;1637;;;;;;;;;B5;;;1650;52;;;
153,125,94;;30;334;;Perfect;;;;;;1574;;;;;;;;;B7;;;850;30;;;
105,70,40;;5;335;;Perfect;;;;;;1606;;;;;;;;;B6;;;300;31;;;
150,134,110;;23;338;;Perfect;;;;;;1920;;;;;;;;;D4;;;2200;70;;;
99,62,27;;20;344;;Perfect;;;;;;1667;;;;;;;;;B4;;;850;40;;;
139,113,74;;39;346;;Perfect;;;;;;1553;;;;;;;;;;;;1850;40;;;
143,137,119;;14;184;;Perfect;;;;;;1525;;;;;;;;;;;;450;27;;;
132,90,34;;15;212;;Needs Cut, slightly bended;;;;;;1520;;;;;;;;;B;;;300;19;;;
159,151,132;;11;11;;Grove;;;;;;1514;;;;;;;;;;;;600;113;;;
151,123,76;;3;107;;Perfect;;;;;;1507;;;;;;;;;;;;250;71;;;
88,65,49;;12;245;;Perfect;;;;;;1507;;;;;;;;;;;;450;40;;;
113, 80, 54;;25;220;;perfect;;;;;;1495;;;;;;;;;A1;;;1200;30;;;
142, 99, 69;;15;236;;perfect;;;;;;1494;;;;;;;;;A1;;;1150;45;;;
153, 132, 109;;19;203;;perfect;;;;;;1493;;;;;;;;;A1;;;600;24;;;
140, 116, 86;;35;120;;Wood is chipped;;;;;;1492;;;;;;;;;A1;;;1050;35;;;
122, 109, 89;;16;95;;missing a part;;;;;;1491;;;;;;;;;A1;;;800;54;;;
141, 142, 138;;18;96;;perfect;;;;;;1488;;;;;;;;;A1;;;950;52;;;
152, 122, 93;;5;148;;Cracked;;;;;;1480;;;;;;;;;A1;;;300;74;;;
139,127, 111;;5;149;;perfect;;;;;;1480;;;;;;;;;A1;;;300;74;;;
125, 103, 83;;15;161;;perfect;;;;;;1480;;;;;;;;;A1;;;300;40;;;
155, 132, 106;;16;143;;missing a part;;;;;;1460;;;;;;;;;A1;;;1200;80;;;
112, 80, 56;;18;226;;perfect;;;;;;1443;;;;;;;;;A1;;;750;30;;;
130, 104, 73;;35;98;;Wood is chipped;;;;;;1440;;;;;;;;;A1;;;1000;44;;;
122, 97, 70;;26;228;;chipped;;;;;;1440;;;;;;;;;A2;;;1250;44;;;
137, 124, 108;;11;68;;damaged;;;;;;1439;;;;;;;;;A2;;;500;50;;;
147, 111, 78;;17;102;;perfect;;;;;;1433;;;;;;;;;A2;;;750;49;;;
82, 50, 33;;16;250;;missing a part;;;;;;1430;;;;;;;;;A2;;;450;24;;;
168, 169, 163;;23;13;;Cracked;;;;;;1427;;;;;;;;;A2;;;1900;137;;;
133, 95, 64;;16;76;;Wood is chipped;;;;;;1425;;;;;;;;;A2;;;750;54;;;
107, 82, 52;;23;66;;perfect;;;;;;1424;;;;;;;;;A2;;;1400;54;;;
122, 105, 83;;30;170;;chipped;;;;;;1423;;;;;;;;;A2;;;850;30;;;
102, 58, 37;;42;345;;perfect;;;;;;1403;;;;;;;;;A2;;;2500;45;;;
155, 141, 122;;14;72;;perfect;;;;;;1400;;;;;;;;;A2;;;1159;44;;;
161,104,64;;30;278;;perfect;;;;;;1397;;;;;;;;;A2;;;2050;72;;;
143, 89, 51;;23;230;;perfect;;;;;;1396;;;;;;;;;A2;;;1050;40;;;
158, 134, 97;;4;29;;chips missing;;;;;;1395;;;;;;;;;A3;;;300;104;;;
159, 124, 94;;10;154;;perfect;;;;;;1390;;;;;;;;;A3;;;200;34;;;
159, 141, 115;;26;157;;perfect;;;;;;1386;;;;;;;;;A3;;;950;39;;;
156, 141, 127;;15;348;;perfect;;;;;;1355;;;;;;;;;A3;;;750;47;;;
132, 114, 100;;35;101;;perfect;;;;;;1354;;;;;;;;;A3;;;1300;41;;;
167, 163, 152;;34;27;;wood missing;;;;;;1340;;;;;;;;;A3;;;3800;130;;;
149, 148, 140;;31;31;;Slighty bended;;;;;;1317;;;;;;;;;A3;;;2450;31;;;
152, 139, 125;;25;118;;perfect;;;;;;1303;;;;;;;;;A3;;;550;40;;;
174, 163, 145;;21;39;;perfect;;;;;;1290;;;;;;;;;A3;;;1100;80;;;
